experiment,trainable_parameters,training_time,peak_gpu_memory,best_val_acc,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
lora,342728,3047.43,3.2198328971862793,0.9915228113440198,0.9912223363526006,0.9883292778961692,0.986100441104721,0.9870941191280643
qlora,192816,4694.316367864609,2.8404440879821777,0.9904438964241677,0.9907554393500794,0.9877668944174225,0.9868186151766779,0.9871633540248931
